Index,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
0,Absent,Very Weak,Green,Upright,Very Weak (2),Absent,Very Weak,Weak,Green,Very Weak,Very Acute (<15),Light Green,Light,Absent or very weak,None,Very few (<20),Small,Only 1 hermaphrodite flower on each inflorescence ,Greenish White,Light,Short (~1),None,Broader than long,None,About 1/4 way from base to tip,Globular,Protruded,Green,Uniform,Green,Absent,Absent,Erect,None,Very Weak,"Circular, no grooves",Whitish,Very Loose (spongy),Bitter,White
1,Present,Weak,Violet,Intermediate,Weak (5),Present,Weak,Medium,Greenish Violet,Weak,Acute (~45),Green,Medium,Weak,Very few (1-2),Few (20-50),Medium,Only 2 hermaphrodite flowers on each inflorescence ,White,Medium,Intermediate (~3),Slightly curved,As long as broad,Very few (<3),About 1/2 way from base to tip,Ovoid,Rounded,Milk White,Mottled,Deep Yellow,Present,Present,Semi-Erect,Very Few (<3),Weak,"Elliptic, no grooves",Greenish,Loose (crumbly),Intermediate,Light Yellow
2,,Intermediate,Light Violet,Prostrate,Intermediate (10),,Intermediate,,Violet,Intermediate,Intermediate(~75),Dark Green,Dark,Medium,Few (3-5),Intermediate (50-100),Large,"Four or more hermaphrodite flowers on each inflorescence, but some flowers functionally male ",Pale Violet,Dark,Long (~5),Curved,Slightly longer than broad,Few (~5),About 3/4 way from base to tip,,Flattened,Deep Yellow,Netted,Yellow Orange,,,Horizontal,Few(~5),Intermediate,Few grooves (~4),,Average density,Sweet,Grey Yellow
3,,Strong,Mixture,Mixture,Strong (20),,Strong,Strong,Dark Violet,Strong,Obtuse (~110),Greenish Violet,,Strong,Intermediate (6-10),Many (100-200),,"Four or more hermaphrodite flowers on each inflorescence, no functionally male flowers",Light Violet,,,,Twice as long as broad,Intermediate (~10),Mixture,Obovate,Depressed,Fire Red,Striped,Deep Orange,,,Semi-Pendant,Intermediate (~10),Strong,Many grooves (~8),,Dense,Mixture,Brownish Yellow
4,,Very Strong,,,Very Strong (>30),,Very Strong,,Dark Brown,Very Strong,Very Obtuse (>160),Violet,,Very Strong,Many (11-20),Very Many (>200),,Mixture,Bluish Violet,,,Snake shape,Three times as long as broad,Many (~20),,Pear-shaped,Mixture,Scarlet Red,,Fire Red,,,Pendant,Many (~20),Very Strong,Very irregular,,Very Dense,,Brown 
5,,,,,,,,,Mixture,Mixture,Mixture,Mixture,,,Very Many (>20),,,,,,,Sickle shaped,Several times as long as broad,Very many (>30),,Club-shaped,,Lilac Grey,,Poppy Red,,,,Very Many (>30),Mixture,Mixture,,Mixture,,Brown Black
6,,,,,,,,,,,,,,,,,,,,,,U-shaped,,,,Ellipsoid,,Purple,,Scarlet Red,,,,,,,,,,Black
7,,,,,,,,,,,,,,,,,,,,,,Mixture,,,,Cylindrical,,Purple Black,,Light Brown,,,,,,,,,,Mixture
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,Black,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixture,,,,,,,,,,,,
